,type,Ret,IR,Calmar,Turnover,PNL,Cost,Asset,threshold,Sample,fee
94,IF.CFE,0.07809668005467582,1.1764545184700441,1.0863780575283506,0.17853672544625024,158313540.0,57800220.3,433846653.03333277,0.2,in_sample,0.0005
95,IH.CFE,0.04957720003683463,0.7443609062685888,0.7087848863730384,0.1774795585854687,121356780.0,57549087.36,397141025.9733334,0.2,in_sample,0.0005
96,ALL,0.07131946105553957,1.0782834711199742,0.9597287351118102,0.21319785264476357,482710700.0000001,207338336.48000002,1275372363.52,0.25,in_sample,0.0005
97,IC.CFE,0.04952743382330934,0.6195625103814627,0.44432487355933625,0.2094704687587776,131679080.00000012,67935438.32,397076975.0133333,0.25,in_sample,0.0005
98,IF.CFE,0.09477785902791365,1.2235628858423966,1.2306132035216717,0.21620603063166344,192040380.0,70057765.14,455315948.1933333,0.25,in_sample,0.0005
99,IH.CFE,0.06965309031539564,0.9034146770042653,0.8984758962753506,0.21391705854384982,158991240.0,69345133.02000001,422979440.3133333,0.25,in_sample,0.0005
100,ALL,0.08931832036834478,1.2038968288635654,1.2508091785459359,0.24376091018419027,581834180.0000002,236966220.8,1344867959.199998,0.3,in_sample,0.0005
101,IC.CFE,0.06872374004374052,0.7893661158948979,0.6510849198192146,0.2378501941826462,165588920.00000012,77138921.24000001,421783332.09333265,0.3,in_sample,0.0005
102,IF.CFE,0.11057673448748148,1.2781357977040546,1.3375867752721662,0.2493659328324868,223049400.0,80733047.28,475649686.0533326,0.3,in_sample,0.0005
103,IH.CFE,0.0886544865738124,1.019877703447957,1.136281121479587,0.2440666035374379,193195860.0,79094252.28,447434941.05333257,0.3,in_sample,0.0005
104,ALL,0.10270267879079112,1.33775979720265,1.4979201198183807,0.2707185105750976,659754740.0000002,263208285.78000003,1396546454.219999,0.35,in_sample,0.0005
105,IC.CFE,0.09025481195741007,1.000297752637237,1.026733636568523,0.26397414153495036,201767000.00000018,85605714.24000001,449494619.0933333,0.35,in_sample,0.0005
106,IF.CFE,0.11820242347510705,1.322954665526314,1.422577676034278,0.27665578177824746,241718580.0,89587683.12,485464230.2133322,0.35,in_sample,0.0005
107,IH.CFE,0.09965080093985645,1.0779354260659668,1.288659650106055,0.271525608412095,216269160.0,88014888.42,461587604.9133337,0.35,in_sample,0.0005
108,ALL,0.11247008830964017,1.4369515101392762,1.6815406758479532,0.2945056285440173,720589640.0000002,286330132.36,1434259507.6399996,0.4,in_sample,0.0005
109,IC.CFE,0.10124266979913689,1.09466973651895,1.260353302839095,0.28754008558714145,223554920.00000018,93251854.24,463636399.09333354,0.4,in_sample,0.0005
110,IF.CFE,0.12873084664402862,1.404070817617266,1.6096133598739313,0.30008698906562237,262877460.0,97196092.56,499014700.7733331,0.4,in_sample,0.0005
111,IH.CFE,0.10743674848575524,1.1307296736456316,1.3647998902983947,0.2958898109792882,234157260.0,95882185.56,471608407.77333313,0.4,in_sample,0.0005
112,ALL,0.12105501430273351,1.5266676962246144,1.8452086909474497,0.3148876288598249,773493360.0000002,306086499.22,1467406860.7799988,0.45,in_sample,0.0005
113,IC.CFE,0.10780583853237356,1.1392126409991,1.4040216484653476,0.3070711714725467,238370520.00000018,99620413.00000001,472083440.3333326,0.45,in_sample,0.0005
114,IF.CFE,0.1443930418411507,1.5383491517000614,1.9787921803126387,0.3194669858275925,289244340.0,103405147.26,519172526.07333285,0.45,in_sample,0.0005
115,IH.CFE,0.11096616253467625,1.147131756664806,1.3274752487998978,0.3181247292793356,245878500.0,103060938.96000001,476150894.3733333,0.45,in_sample,0.0005
116,ALL,0.12942863384115127,1.613008167113555,2.0349925805222457,0.3317049709271609,822139500.0000002,322401163.78000003,1499738336.2200007,0.5,in_sample,0.0005
117,IC.CFE,0.1123154034889208,1.1589336685162805,1.5168791830078052,0.3243192509671867,249743280.0000002,105189195.88000001,477887417.4533332,0.5,in_sample,0.0005
118,IF.CFE,0.1582618773651803,1.6595105999916102,2.4574337350126876,0.3351844518789308,312176820.0,108487922.28,537022231.0533339,0.5,in_sample,0.0005
119,IH.CFE,0.11770862066935266,1.2009148092805106,1.3829964669162607,0.33561120993536503,260219400.0,108724045.62,484828687.7133335,0.5,in_sample,0.0005
120,ALL,0.14082197773467617,1.7164706174335604,2.2808668689027987,0.3603441959091614,894011960.0000004,350282657.08,1543729302.9199996,0.6,in_sample,0.0005
121,IC.CFE,0.11716110857784183,1.159842805184247,1.722296299756101,0.3535603895698407,265493240.00000027,114702553.96000001,484124019.37333345,0.6,in_sample,0.0005
122,IF.CFE,0.17246108067798557,1.7641824336009921,2.8619133108886294,0.36231254072864066,339231540.0,117267741.72,555297131.6133332,0.6,in_sample,0.0005
123,IH.CFE,0.13284374394820125,1.320609266069227,1.5357464986163627,0.36515965742900297,289287180.0,118312361.4,504308151.93333304,0.6,in_sample,0.0005
124,ALL,0.1496903103090647,1.7840684788501902,2.4162947988456907,0.3860562327033211,953241880.0000004,375270959.64,1577970920.36,0.7,in_sample,0.0005
125,IC.CFE,0.11928760421179907,1.1426899066633134,1.7647039899720838,0.37940032751119634,276587320.0000003,123059755.32000001,486860898.013334,0.7,in_sample,0.0005
126,IF.CFE,0.18502347878676156,1.856859696274277,3.24727997012296,0.3873061841252909,363484140.0,125352070.08,571465403.253332,0.7,in_sample,0.0005
127,IH.CFE,0.14475984792863356,1.4001879977716667,1.6376052611364478,0.3914621864734763,313170420.0,126859134.24000001,519644619.0933339,0.7,in_sample,0.0005
128,ALL,0.15740596897899267,1.833936852189861,2.5800669351661645,0.40835484789393856,1004744660.0000002,396982724.22,1607761935.7799995,0.8,in_sample,0.0005
129,IC.CFE,0.12361456923280623,1.1553015617061653,1.9644254327733763,0.40048492604165215,288986000.00000036,129889471.08,492429862.25333387,0.8,in_sample,0.0005
130,IF.CFE,0.19418606443165368,1.9123854893106091,3.443952507972829,0.40965325339707276,382530540.0,132605883.00000001,583257990.3333321,0.8,in_sample,0.0005
