,type,Ret,IR,Calmar,Turnover,PNL,Cost,Asset,threshold,Sample,fee
25,LTCUSDT,0.5345594189581809,2.7776023038848776,2.9643221078655153,0.08580728253558242,771002.2913314722,0.0,1437668.9579981312,0.1,all_sample,0.0
26,NEOUSDT,0.2725916063103144,2.358465427277912,4.274910358180968,0.0859806700958908,393162.5664225947,0.0,1059829.2330892754,0.1,all_sample,0.0
27,QTUMUSDT,0.37946909041920907,3.334398476579402,8.995318847432372,0.0859341872744642,547313.4095605068,0.0,1213980.0762271574,0.1,all_sample,0.0
28,TRXUSDT,0.6027144553641989,3.490169932637094,11.114248096238148,0.08568977472553639,869303.2235968311,0.0,1535969.8902634927,0.1,all_sample,0.0
29,XLMUSDT,0.4216372094498723,2.4320166370166514,3.9299122340025354,0.08592446483612443,608133.0588656014,0.0,1274799.7255322663,0.1,all_sample,0.0
30,XRPUSDT,0.9441527724602893,3.7218480681896184,11.655893435229025,0.08588861184152605,1361764.3336124404,0.0,2028431.000279102,0.1,all_sample,0.0
31,ZECUSDT,0.3298463361200329,3.0243672986788415,6.127635901927365,0.08575543765196542,475741.8388239666,0.0,1142408.5054906288,0.1,all_sample,0.0
32,ALL,0.7072088137226453,5.690365273612314,21.90849556078882,0.11691054515397231,15300252.782730093,0.0,25300252.782730106,0.15,all_sample,0.0
33,BATUSDT,0.23549261260239412,2.180368837651498,3.195312559766066,0.11640841924427232,339654.1852390181,0.0,1006320.8519056753,0.15,all_sample,0.0
34,BNBUSDT,1.144693834397869,5.4273465212860375,16.7284085149894,0.11673567556382237,1651007.4238590833,0.0,2317674.0905257543,0.15,all_sample,0.0
35,BTCUSDT,0.7015496336368192,4.317487007997451,14.696082231627447,0.11663947696112568,1011854.5400825812,0.0,1678521.2067492385,0.15,all_sample,0.0
36,DASHUSDT,0.2408636389071731,2.7141174715082963,7.647939023201169,0.11684848030585727,347400.8892365778,0.0,1014067.5559032529,0.15,all_sample,0.0
37,EOSUSDT,0.6687979805020087,3.0646031102869227,7.206184394638989,0.1164857289912776,964616.38709848,0.0,1631283.0537651496,0.15,all_sample,0.0
38,ETCUSDT,1.0551390778044185,4.46846889659125,11.16710167526028,0.11757915230400462,1521841.385277723,0.0,2188508.051944394,0.15,all_sample,0.0
39,ETHUSDT,0.9381294608257433,4.543314939634727,14.52072555606774,0.11772293191397158,1353076.8296476053,0.0,2019743.4963142686,0.15,all_sample,0.0
40,LINKUSDT,1.0382434110906555,4.040205763836482,13.911700040881954,0.11724800421756155,1497472.536300607,0.0,2164139.2029672833,0.15,all_sample,0.0
41,LTCUSDT,0.74804384975878,3.4957169496290303,7.3352740135822865,0.11619540554523247,1078913.7778256088,0.0,1745580.4444922677,0.15,all_sample,0.0
42,NEOUSDT,0.38008365115389936,2.9565505559692005,6.251119305754424,0.11736494847503216,548199.7988332338,0.0,1214866.465499901,0.15,all_sample,0.0
43,QTUMUSDT,0.47110474366202026,3.6517665562246755,10.022740502937037,0.11679638608889344,679480.7535679366,0.0,1346147.420234597,0.15,all_sample,0.0
44,TRXUSDT,0.737714242188551,3.9855859807091076,13.125415798835894,0.11690824983254187,1064015.244897827,0.0,1730681.9115644912,0.15,all_sample,0.0
45,XLMUSDT,0.6320918531226581,3.257447728898659,8.53000664216857,0.11723553704463266,911674.6423425187,0.0,1578341.3090091792,0.15,all_sample,0.0
46,XRPUSDT,1.2045070485836642,4.144982268770338,11.298424143150712,0.1169050033200199,1737276.8329343535,0.0,2403943.4996010354,0.15,all_sample,0.0
47,ZECUSDT,0.41167716760302303,3.40903268620783,7.540989928279682,0.11658477750133898,593767.5555869384,0.0,1260434.2222536143,0.15,all_sample,0.0
48,ALL,0.8219197907286903,6.104024329867804,28.865812153378677,0.14015512409381303,17781990.72361888,0.0,27781990.72361888,0.2,all_sample,0.0
49,BATUSDT,0.29243003664853723,2.6368408334857576,4.07412543552932,0.1393277207344509,421775.8032392009,0.0,1088442.4699058658,0.2,all_sample,0.0
50,BNBUSDT,1.295329847323606,5.752488040976303,19.65937757885721,0.13997836500079805,1868271.7858810306,0.0,2534938.452547715,0.2,all_sample,0.0
51,BTCUSDT,0.7874751200078124,4.4862385414995325,16.160970438554934,0.13993567871050513,1135786.0330584631,0.0,1802452.6997251187,0.2,all_sample,0.0
52,DASHUSDT,0.29740716900779457,3.1862307899174334,9.720811785348957,0.13974135906842494,428954.3886632944,0.0,1095621.0553299636,0.2,all_sample,0.0
