,type,Ret,IR,Calmar,Turnover,PNL,Cost,Asset,threshold,Sample,fee
19,ALL,0.6363608003488648,3.886512374832292,0.12126650887117667,0.05766427527282597,137544011.34481078,0.0,237544011.34481052,0.1,all_sample,0.0
20,ADAUSDT,0.8270665246509572,3.483039894896466,14.843941148569865,0.059982834654530234,9931302.37046,0.0,15486857.92601549,0.1,all_sample,0.0
21,BNBUSDT,0.8522090461540102,4.078528949714805,16.899756316624764,0.0595213962717862,10233210.349999998,0.0,15788765.905555574,0.1,all_sample,0.0
22,BTCUSDT,0.4152711063517481,2.8083987554771657,7.428345453371809,0.060715230588718916,4986518.979999997,0.0,10542074.535555555,0.1,all_sample,0.0
23,BTTUSDT,0.9280053090598258,3.2845957803299233,12.81009645501056,0.03851675882633465,11143361.5688348,0.0,16698917.124390375,0.1,all_sample,0.0
24,DASHUSDT,0.579247364355758,2.2974606794965062,5.0833654742192875,0.05939448944690479,6955523.5900000045,0.0,12511079.145555506,0.1,all_sample,0.0
25,DOGEUSDT,0.5342481759650981,2.494338753173859,5.880767749796229,0.04213899019445002,6415179.454416001,0.0,11970735.009971568,0.1,all_sample,0.0
26,EOSUSDT,0.43200711758776467,1.976843918725025,4.8971285099606705,0.05992184343384369,5187482.7272999985,0.0,10743038.282855617,0.1,all_sample,0.0
27,ETCUSDT,0.9695869321264818,3.8342177090145695,21.254217494518592,0.06088327789754414,11642668.044699997,0.0,17198223.60025546,0.1,all_sample,0.0
28,ETHUSDT,0.6486200286388538,3.4790169910020214,8.784526446777695,0.060630771613743965,7788541.11,0.0,13344096.665555593,0.1,all_sample,0.0
29,LINKUSDT,0.44438991133426803,1.8859872136716271,3.6815544410356646,0.060285751807987585,5336173.630900003,0.0,10891729.1864555,0.1,all_sample,0.0
30,LTCUSDT,0.4178325502461196,2.0538081860432102,3.7404952430233123,0.059392822227714866,5017276.45,0.0,10572832.005555574,0.1,all_sample,0.0
31,NEOUSDT,0.6513404694202193,2.7096979834322648,8.117083908413058,0.059611607286816054,7821207.793000001,0.0,13376763.348555576,0.1,all_sample,0.0
32,QTUMUSDT,0.7168344542903962,2.6339423387614738,7.478437647180936,0.05986237384676383,8607650.658,0.0,14163206.213555532,0.1,all_sample,0.0
33,TRXUSDT,0.667473070649007,3.3390022494854756,13.372285852768883,0.05932197872769823,8014925.874979999,0.0,13570481.43053545,0.1,all_sample,0.0
34,XLMUSDT,0.5020692393697335,1.9998703009414713,2.964298831090992,0.05934001928124967,6028779.159199996,0.0,11584334.714755539,0.1,all_sample,0.0
35,XMRUSDT,0.4128160843819565,1.9298959920540097,4.856585537152622,0.05910299791574246,4957039.410000001,0.0,10512594.965555534,0.1,all_sample,0.0
36,XRPUSDT,0.8318844000385534,3.2150858582031066,8.960422727680296,0.05971362559046778,9989154.76302,0.0,15544710.318575578,0.1,all_sample,0.0
37,ZECUSDT,0.6235926216588099,2.537753101989568,6.845663431430552,0.05962018529857012,7488015.409999998,0.0,13043570.965555497,0.1,all_sample,0.0
38,ALL,0.7997837584813888,4.479459198894235,0.19471299176435775,0.07299068034183118,172866503.23158228,0.0,272866503.23158234,0.15,all_sample,0.0
39,ADAUSDT,0.9948344183590645,3.8383019191755396,21.558763818283047,0.07571788502311486,11945836.426440002,0.0,17501391.981995516,0.15,all_sample,0.0
40,BNBUSDT,0.9899992018873722,4.399222944778216,17.750895276136717,0.07477443645214153,11887775.804500002,0.0,17443331.360055495,0.15,all_sample,0.0
41,BTCUSDT,0.5047914563037874,3.06503101780617,8.3829141375602,0.0769678834345889,6061467.169999996,0.0,11617022.725555502,0.15,all_sample,0.0
42,BTTUSDT,1.0901548914606205,3.5711178336258023,16.13895768372366,0.04878765177700583,13090431.7065673,0.0,18645987.262122903,0.15,all_sample,0.0
43,DASHUSDT,0.7710991861742972,2.837906512291274,8.633395459117448,0.07511547565548825,9259254.180000005,0.0,14814809.735555645,0.15,all_sample,0.0
44,DOGEUSDT,0.6370085162420535,2.7040534836824697,7.598283088620537,0.0534284839679099,7649111.6479750015,0.0,13204667.203530595,0.15,all_sample,0.0
45,EOSUSDT,0.6169428491588043,2.6044668131228295,7.876200410377369,0.0755704913534997,7408165.845999997,0.0,12963721.401555557,0.15,all_sample,0.0
46,ETCUSDT,1.136883299261116,4.093174015086842,23.70181957128486,0.07746041952443304,13651540.073699998,0.0,19207095.629255436,0.15,all_sample,0.0
47,ETHUSDT,0.7834591762315476,3.889099759481252,12.240879502503175,0.07699644451789718,9407671.26,0.0,14963226.815555636,0.15,all_sample,0.0
48,LINKUSDT,0.6367140520670199,2.495551766909847,7.686690294936991,0.07634717210518695,7645575.7622000035,0.0,13201131.317755554,0.15,all_sample,0.0
49,LTCUSDT,0.5810618469272205,2.598342704864483,7.295819099055562,0.0749224425680226,6977311.650000003,0.0,12532867.205555553,0.15,all_sample,0.0
50,NEOUSDT,0.8732917038524115,3.2642408582088485,10.863681005940636,0.07576099324683065,10486368.037,0.0,16041923.592555532,0.15,all_sample,0.0
