,signal,ret,cumsum
2016-07-04,-0.0032785256569469734,-0.0012869309213578983,-0.09562269207014085
2019-08-06,-0.003274229296796438,0.000224638562224877,-0.09539805350791597
2017-05-08,-0.003256302521008503,-0.010171354745780126,-0.1055694082536961
2018-01-15,-0.0032555615843734564,0.0017427267489964482,-0.10382668150469965
2017-05-04,-0.003189042241739881,-0.0017015164278928463,-0.1055281979325925
2019-02-25,-0.0031796502384738856,-0.0012594880617571302,-0.10678768599434962
2018-03-14,-0.003177680831582763,0.0006689921275522259,-0.1061186938667974
2018-03-13,-0.0031734079173836305,0.0011328166136981288,-0.10498587725309927
2015-08-10,-0.0031272803085584666,-0.0011241989038014433,-0.10611007615690071
2017-01-10,-0.0031173344235487788,-0.0020504760340424033,-0.10816055219094312
2021-01-08,-0.0031089139187605586,-3.45323009983689e-05,-0.10819508449194148
2018-10-08,-0.0030584264923009252,0.00012858930642156707,-0.10806649518551992
2018-10-19,-0.003035060177917215,-0.0013108368681274962,-0.10937733205364741
2022-11-29,-0.00301795684321704,0.002199388919985612,-0.1071779431336618
2021-10-08,-0.0030078203328653963,-0.0019570994041382406,-0.10913504253780004
2022-11-28,-0.0030031533109763364,-0.002703211114640003,-0.11183825365244005
2020-08-11,-0.002972441936621717,0.0012567469370146078,-0.11058150671542544
2022-07-04,-0.0029531007557934696,-0.00041750460274758705,-0.11099901131817302
2019-10-11,-0.0029527057985033744,-0.0012875692298567332,-0.11228658054802976
2015-06-23,-0.002950629643289737,0.00023385341014270367,-0.11205272713788705
2022-11-25,-0.0029454345764066137,4.489784244166017e-06,-0.11204823735364289
2022-11-11,-0.0029032575533903815,-0.00431408519889942,-0.11636232255254231
2018-03-08,-0.0028991731987543234,-0.0002055143742401011,-0.11656783692678241
2019-10-28,-0.0028688524590162467,-0.00012465045933685026,-0.11669248738611926
2019-05-21,-0.0028400289166580217,-0.0007301453592458707,-0.11742263274536513
2021-03-15,-0.002838416679568745,0.0006813270220598078,-0.11674130572330532
2015-08-25,-0.002813965607087132,0.001783381257001615,-0.11495792446630371
2016-10-31,-0.002807881773399079,-0.001365266309175217,-0.11632319077547892
2019-04-24,-0.0028022833419821813,-0.0016710898934754193,-0.11799428066895434
2015-07-02,-0.0027997886951928175,0.0009512736497199192,-0.11704300701923442
2015-09-22,-0.0027996681874740137,0.000877436685647881,-0.11616557033358654
2015-05-29,-0.0027871266302060826,6.971199650496196e-05,-0.11609585833708158
2020-04-17,-0.0027779131536626034,-0.0009491772417256072,-0.11704503557880719
2019-12-17,-0.002763137696361939,3.5205703010632305e-06,-0.11704151500850613
2018-07-03,-0.0027555370697724957,-0.0015695683134051563,-0.11861108332191128
2016-01-07,-0.0027476644851874843,0.0008251078007595058,-0.11778597552115178
2015-08-12,-0.0027333894028596095,0.005372835465057069,-0.11241314005609471
2018-06-20,-0.0027239392352017555,-0.0005786601318653606,-0.11299180018796007
2021-02-26,-0.0026888670562076333,0.0007115660360133003,-0.11228023415194677
2022-04-18,-0.0026871019108281047,0.00016642058691962447,-0.11211381356502714
2019-04-04,-0.0026867830939339976,-0.0024696112411252136,-0.11458342480615236
2020-06-02,-0.002681764004767606,-0.0032912191319887096,-0.11787464393814107
2015-06-17,-0.002681388012618302,0.00037514067775412663,-0.11749950326038694
2019-10-30,-0.002668034889687032,0.0017969454442221533,-0.11570255781616479
2016-05-16,-0.00266733769501748,-0.0012657935785256313,-0.11696835139469042
2022-06-27,-0.00264999999999993,0.00019156336568770804,-0.11677678802900271
2019-10-18,-0.002645098936873813,-0.0004947541496772567,-0.11727154217867997
2020-07-31,-0.002624804401595293,-0.0028852421779046455,-0.12015678435658461
2017-07-18,-0.002623294858342007,0.0008381566007913399,-0.11931862775579327
2021-02-08,-0.0026206258671190863,0.0013343842592401511,-0.11798424349655312
2017-01-03,-0.002618204219929088,0.0009538682919412178,-0.1170303752046119
2020-02-10,-0.0026159921026653876,-0.0012745379886802688,-0.11830491319329217
2021-07-15,-0.0026130653266331905,-7.581315898030905e-05,-0.11838072635227248
2021-02-03,-0.0026113671274962114,-0.00045512600905195377,-0.11883585236132443
2020-06-18,-0.0025900283906959976,0.000296442754769366,-0.11853940960655507
2019-02-26,-0.0025725457913152727,0.0006794530601461624,-0.1178599565464089
2020-09-02,-0.0025559758715877345,-0.0001610459118952523,-0.11802100245830416
2022-03-09,-0.0025544703230653276,0.0022773659336225993,-0.11574363652468156
2017-05-26,-0.0025449339907747115,0.003120053425491376,-0.11262358309919018
2017-11-27,-0.0025387565494515707,0.0004616178151246597,-0.11216196528406552
2016-12-27,-0.002536100615910142,-0.004455428540585449,-0.11661739382465097
2015-11-03,-0.0025298522566280512,-0.00023174766416356185,-0.11684914148881453
2018-11-30,-0.0025277276244518587,-0.0023794375813604995,-0.11922857907017503
2018-05-31,-0.002524322902971221,-0.0010211081710783665,-0.1202496872412534
2019-03-18,-0.002509731612374555,-4.3036233761895026e-05,-0.1202927234750153
2020-06-10,-0.002496380248639296,0.0022552520887340055,-0.11803747138628129
2019-07-05,-0.0024946543121880937,-0.0007959235406147513,-0.11883339492689604
2017-03-23,-0.002484472049689379,0.0019573444190714717,-0.11687605050782457
