,ADAUSDT,BNBUSDT,BTCUSDT,BTTUSDT,DASHUSDT,DOGEUSDT,EOSUSDT,ETCUSDT,ETHUSDT,LINKUSDT,LTCUSDT,NEOUSDT,QTUMUSDT,TRXUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT
17033,0.5268,321.0,23782.64,,54.6,0.07035,1.287,41.81,1880.68,9.39,61.1,11.71,4.194,0.06967,0.1241,161.3,0.373,77.3
17034,0.5287,320.7,23829.49,,54.5,0.07068,1.29,42.01,1883.72,9.356,61.3,11.76,4.205,0.06972,0.1244,161.6,0.3725,77.4
17035,0.5293,321.3,23814.72,,54.6,0.07068,1.287,41.91,1881.2,9.308,61.37,11.79,4.214,0.06972,0.1244,162.1,0.3727,77.6
17036,0.5318,323.4,23980.66,,54.9,0.07092,1.297,42.5,1897.69,9.284,61.69,11.88,4.243,0.06993,0.1247,162.5,0.3735,77.5
17037,0.5302,321.8,23990.84,,54.7,0.07083,1.3,42.32,1893.92,9.197,61.59,11.84,4.221,0.06977,0.1239,162.5,0.3727,77.5
17038,0.5307,322.3,24009.06,,54.9,0.07115,1.298,42.45,1899.0,9.182,61.68,11.86,4.239,0.06987,0.1244,163.9,0.3723,78.0
17039,0.5347,324.1,24124.64,,55.3,0.07162,1.304,42.71,1911.54,9.221,62.21,11.93,4.267,0.07003,0.1251,165.4,0.3747,78.2
17040,0.5378,325.2,24177.57,,56.4,0.07168,1.312,42.76,1926.21,9.208,62.39,11.98,4.263,0.0701,0.1256,164.6,0.3771,78.3
17041,0.5388,325.5,24225.2,,56.3,0.07203,1.317,42.76,1931.8,9.225,62.48,12.01,4.271,0.0701,0.1256,164.8,0.3778,78.0
17042,0.5365,324.0,24114.68,,55.6,0.07167,1.316,42.51,1922.72,9.219,62.17,11.94,4.243,0.06997,0.1252,164.7,0.377,77.4
17043,0.5393,324.9,24239.17,,55.9,0.07198,1.316,42.87,1931.65,9.268,62.52,11.98,4.262,0.07008,0.1256,164.6,0.3782,77.5
17044,0.5402,327.9,24403.68,,56.1,0.0723,1.328,43.38,1958.28,9.324,62.88,12.03,4.289,0.07045,0.1264,165.2,0.3796,77.3
17045,0.5385,326.8,24357.5,,56.1,0.07208,1.325,42.98,1948.89,9.259,62.77,11.99,4.271,0.07031,0.1259,165.3,0.3784,77.3
17046,0.5393,326.0,24554.47,,56.7,0.07297,1.336,43.27,1963.86,9.28,63.0,12.14,4.306,0.07088,0.1269,165.5,0.3798,78.4
17047,0.542,327.1,24681.25,,56.8,0.07325,1.347,43.56,1978.18,9.356,63.52,12.2,4.324,0.0711,0.1276,166.4,0.3813,78.8
17048,0.5435,328.7,24796.53,,56.8,0.07306,1.343,43.57,1996.57,9.339,63.96,12.15,4.312,0.07099,0.1275,166.2,0.3819,78.6
