Fut_code,Trade_DT,amount,close,high,low,open,position,position_range,twap,t_vwap,volume
CU.SHF,6/1/2020 12:00,6958526850,44370,44480,44200,44270,103596,503,44385.40741,221931.249,31369
CU.SHF,6/1/2020 16:00,6628689000,44600,44640,44360,44380,106381,3467,44539.44444,222689.7676,29764
EB.DCE,6/1/2020 8:00,14926190,5516,5531,5478,5531,1715,14,5497.1,27508.578,540
EB.DCE,6/1/2020 12:00,7562820,5567,5590,5512,5512,1782,80,5561.555556,27806.60155,272
EB.DCE,6/1/2020 16:00,1423690,5563,5609,5563,5581,1754,31,5586.368421,27932.48904,51
EG.DCE,6/1/2020 8:00,3235682810,3729,3748,3705,3705,189864,5129,3736.325,37364.90757,86655
EG.DCE,6/1/2020 12:00,4739690620,3784,3796,3733,3750,205546,14785,3776.303704,37765.70747,125658
EG.DCE,6/1/2020 16:00,1614467270,3793,3795,3776,3782,203430,3302,3783.811111,37836.8411,42660
FG.CZC,6/1/2020 8:00,4512639840,1441,1445,1426,1429,218555,15279,1437.575,28731.16416,157016
FG.CZC,6/1/2020 12:00,3105886640,1438,1447,1436,1441,217174,3054,1440.007407,28790.67254,107700
FG.CZC,6/1/2020 16:00,1457985720,1437,1440,1433,1439,214951,3088,1435.8,28720.66729,50879
FU.SHF,6/1/2020 8:00,16961401490,1643,1647,1616,1617,676248,30232,1639.816667,16397.20227,1034635
FU.SHF,6/1/2020 12:00,16998917290,1675,1678,1649,1670,675699,6520,1665.518519,16655.98367,1021167
FU.SHF,6/1/2020 16:00,8885751850,1675,1682,1663,1670,657183,16981,1671.622222,16716.01638,531500
HC.SHF,6/1/2020 8:00,6190103380,3529,3564,3526,3535,509667,18353,3543.7,35435.35245,174700
HC.SHF,6/1/2020 12:00,7516744450,3565,3569,3529,3532,504413,8048,3549.02963,35490.44313,211721
HC.SHF,6/1/2020 16:00,3801468180,3549,3577,3546,3565,508108,6462,3559.055556,35591.65637,106782
IC.CFE,6/1/2020 12:00,69017793000,5524.6,5525,5386,5386,102396,11525,5473.213333,1094501.712,63235
IC.CFE,6/1/2020 16:00,39760121400,5524.2,5532,5504,5525.2,115257,12697,5517.843333,1103517.893,36031
I.DCE,6/1/2020 8:00,36594768700,745,753,742,746,956629,20076,748.225,74818.93768,489592
I.DCE,6/1/2020 12:00,63609711600,766,775.5,746,748.5,928424,26163,761.562963,76154.08326,834947
I.DCE,6/1/2020 16:00,39283388800,752.5,767.5,749.5,766.5,892201,43601,760.4944444,76048.13661,518403
IF.CFE,6/1/2020 12:00,61417007220,3936.6,3936.8,3871,3871,87525,8259,3914.55,1174313.115,52386
IF.CFE,6/1/2020 16:00,38914003980,3938.8,3948.6,3928,3938,100552,12794,3938.618333,1181526.792,32940
IH.CFE,6/1/2020 12:00,15848228760,2840.6,2840.6,2809.6,2809.6,35149,1915,2830.886667,849279.5711,18676
IH.CFE,6/1/2020 16:00,8740497480,2841.4,2848.6,2836,2840.2,38273,3056,2842.908333,852838.3098,10250
J.DCE,6/1/2020 8:00,22154120100,1896.5,1911,1869,1875,139769,6881,1895.3,189527.0975,117029
J.DCE,6/1/2020 12:00,17257411500,1907,1916,1886,1897.5,165273,25459,1901.718519,190168.8934,90737
J.DCE,6/1/2020 16:00,7968961700,1895,1909,1890,1907,176451,10983,1901.194444,190107.0529,41966
