,Unnamed: 0,tickers,date,tick_len,min_len,na_count,non_continuous_trading_time_count,other_trading_time_count,Exchg,Fut_code
100,0,CU2304.SHF,2022-12-30,19579,465,0,2,0,SHF,CU.SHF
101,0,CU2305.SHF,2022-12-30,17057,465,0,2,0,SHF,CU.SHF
102,0,CU2306.SHF,2022-12-30,13181,465,2,3,0,SHF,CU.SHF
103,0,CU2307.SHF,2022-12-30,7891,465,37,2,0,SHF,CU.SHF
104,0,CU2308.SHF,2022-12-30,13427,465,99,2,0,SHF,CU.SHF
105,0,CU2309.SHF,2022-12-30,11747,465,183,2,0,SHF,CU.SHF
106,0,CU2310.SHF,2022-12-30,11959,465,139,2,0,SHF,CU.SHF
107,0,CU2311.SHF,2022-12-30,9774,465,463,2,0,SHF,CU.SHF
108,0,CU2312.SHF,2022-12-30,9795,465,639,2,0,SHF,CU.SHF
109,0,CY2301.CZC,2022-12-30,2553,345,0,1,0,CZC,CY.CZC
110,0,CY2302.CZC,2022-12-30,236,345,54,0,0,CZC,CY.CZC
111,0,CY2303.CZC,2022-12-30,699,345,699,1,0,CZC,CY.CZC
112,0,CY2304.CZC,2022-12-30,268,345,238,1,0,CZC,CY.CZC
113,0,CY2305.CZC,2022-12-30,3935,345,0,1,0,CZC,CY.CZC
114,0,CY2306.CZC,2022-12-30,193,345,193,1,0,CZC,CY.CZC
115,0,CY2307.CZC,2022-12-30,697,345,697,1,0,CZC,CY.CZC
116,0,CY2308.CZC,2022-12-30,613,345,613,1,0,CZC,CY.CZC
117,0,CY2309.CZC,2022-12-30,3131,345,432,1,0,CZC,CY.CZC
118,0,CY2310.CZC,2022-12-30,716,345,716,1,0,CZC,CY.CZC
119,0,CY2311.CZC,2022-12-30,408,345,408,1,0,CZC,CY.CZC
120,0,CY2312.CZC,2022-12-30,797,345,797,1,0,CZC,CY.CZC
121,0,EB2301.DCE,2022-12-30,4284,345,0,2,0,DCE,EB.DCE
122,0,EB2302.DCE,2022-12-30,33767,345,0,2,0,DCE,EB.DCE
123,0,EB2303.DCE,2022-12-30,25226,345,0,2,0,DCE,EB.DCE
124,0,EB2304.DCE,2022-12-30,24045,345,83,2,0,DCE,EB.DCE
125,0,EB2305.DCE,2022-12-30,19285,345,0,2,0,DCE,EB.DCE
126,0,EB2306.DCE,2022-12-30,2846,345,2846,2,0,DCE,EB.DCE
127,0,EB2307.DCE,2022-12-30,3373,345,3373,1,0,DCE,EB.DCE
128,0,EB2308.DCE,2022-12-30,2688,345,2688,1,0,DCE,EB.DCE
129,0,EB2309.DCE,2022-12-30,3553,345,3173,2,0,DCE,EB.DCE
130,0,EB2310.DCE,2022-12-30,1714,345,1478,1,0,DCE,EB.DCE
131,0,EB2311.DCE,2022-12-30,3550,345,3550,1,0,DCE,EB.DCE
132,0,EB2312.DCE,2022-12-30,3400,345,3400,1,0,DCE,EB.DCE
133,0,EG2301.DCE,2022-12-30,8476,345,0,2,0,DCE,EG.DCE
134,0,EG2302.DCE,2022-12-30,21028,345,0,2,0,DCE,EG.DCE
135,0,EG2303.DCE,2022-12-30,20479,345,1,2,0,DCE,EG.DCE
136,0,EG2304.DCE,2022-12-30,19374,345,1,2,0,DCE,EG.DCE
137,0,EG2305.DCE,2022-12-30,36765,345,0,2,0,DCE,EG.DCE
138,0,EG2306.DCE,2022-12-30,16327,345,1,2,0,DCE,EG.DCE
139,0,EG2307.DCE,2022-12-30,14061,345,4,2,0,DCE,EG.DCE
140,0,EG2308.DCE,2022-12-30,13801,345,12,2,0,DCE,EG.DCE
141,0,EG2309.DCE,2022-12-30,4273,345,40,2,0,DCE,EG.DCE
142,0,EG2310.DCE,2022-12-30,3490,345,146,1,0,DCE,EG.DCE
143,0,EG2311.DCE,2022-12-30,1798,345,351,2,0,DCE,EG.DCE
144,0,EG2312.DCE,2022-12-30,2093,345,2093,1,0,DCE,EG.DCE
145,0,FB2301.DCE,2022-12-30,1506,225,2,2,0,DCE,FB.DCE
146,0,FB2302.DCE,2022-12-30,634,225,4,2,0,DCE,FB.DCE
147,0,FB2303.DCE,2022-12-30,776,225,7,2,0,DCE,FB.DCE
148,0,FB2304.DCE,2022-12-30,87,225,87,2,0,DCE,FB.DCE
149,0,FB2305.DCE,2022-12-30,223,225,7,2,0,DCE,FB.DCE
150,0,FB2306.DCE,2022-12-30,302,225,302,2,0,DCE,FB.DCE
151,0,FB2308.DCE,2022-12-30,23,225,23,1,0,DCE,FB.DCE
152,0,FB2309.DCE,2022-12-30,378,225,263,2,0,DCE,FB.DCE
153,0,FB2310.DCE,2022-12-30,664,225,664,1,0,DCE,FB.DCE
154,0,FB2311.DCE,2022-12-30,221,225,221,2,0,DCE,FB.DCE
155,0,FB2312.DCE,2022-12-30,631,225,322,1,0,DCE,FB.DCE
156,0,FG2301.CZC,2022-12-30,9896,345,0,1,0,CZC,FG.CZC
157,0,FG2302.CZC,2022-12-30,7835,345,0,1,0,CZC,FG.CZC
158,0,FG2303.CZC,2022-12-30,9700,345,0,1,0,CZC,FG.CZC
159,0,FG2304.CZC,2022-12-30,6628,345,0,1,0,CZC,FG.CZC
160,0,FG2305.CZC,2022-12-30,39678,345,0,1,0,CZC,FG.CZC
161,0,FG2306.CZC,2022-12-30,1602,345,0,1,0,CZC,FG.CZC
162,0,FG2307.CZC,2022-12-30,3258,345,0,1,0,CZC,FG.CZC
163,0,FG2308.CZC,2022-12-30,7083,345,24,1,0,CZC,FG.CZC
164,0,FG2309.CZC,2022-12-30,13107,345,0,1,0,CZC,FG.CZC
165,0,FG2310.CZC,2022-12-30,3059,345,108,1,0,CZC,FG.CZC
166,0,FG2311.CZC,2022-12-30,4172,345,30,1,0,CZC,FG.CZC
167,0,FG2312.CZC,2022-12-30,1669,345,0,1,0,CZC,FG.CZC
168,0,FU2302.SHF,2022-12-30,3666,345,186,2,0,SHF,FU.SHF
169,0,FU2303.SHF,2022-12-30,5107,345,32,2,0,SHF,FU.SHF
170,0,FU2304.SHF,2022-12-30,4384,345,88,2,0,SHF,FU.SHF
171,0,FU2305.SHF,2022-12-30,41139,345,0,3,0,SHF,FU.SHF
172,0,FU2306.SHF,2022-12-30,9391,345,7,2,0,SHF,FU.SHF
173,0,FU2307.SHF,2022-12-30,8789,345,52,2,0,SHF,FU.SHF
174,0,FU2308.SHF,2022-12-30,10550,345,0,2,0,SHF,FU.SHF
175,0,FU2309.SHF,2022-12-30,18161,345,0,2,0,SHF,FU.SHF
176,0,FU2310.SHF,2022-12-30,5406,345,0,2,0,SHF,FU.SHF
177,0,FU2311.SHF,2022-12-30,4850,345,6,2,0,SHF,FU.SHF
178,0,FU2312.SHF,2022-12-30,5402,345,0,2,0,SHF,FU.SHF
179,0,FU2401.SHF,2022-12-30,3302,345,209,2,0,SHF,FU.SHF
180,0,HC2301.SHF,2022-12-30,10576,345,0,2,0,SHF,HC.SHF
181,0,HC2302.SHF,2022-12-30,7412,345,17,2,0,SHF,HC.SHF
182,0,HC2303.SHF,2022-12-30,18945,345,3,2,0,SHF,HC.SHF
183,0,HC2304.SHF,2022-12-30,16754,345,10,2,0,SHF,HC.SHF
184,0,HC2305.SHF,2022-12-30,38223,345,0,3,0,SHF,HC.SHF
