,tickers,normalize_method,normed_method,outlier_method,period,mean,median,range,IQR,IC,IC_2sigma,count_2sigma,normal_test_p_value
0,LH.DCE,None,minmax,None,20,0.42013625019912343,0.34579439252336447,1.0,0.6600567111347937,0.013511857534350373,,0,2.1916977510205021e-16
1,LH.DCE,None,ts_zscore,None,20,-0.2931973517456916,-0.42674327728401035,7.811349130104205,2.0657697353384408,0.01566190351983917,-0.3418518403581889,5,8.508824976161122e-06
0,LH.DCE,None,minmax,None,40,0.4371311760054103,0.35386221294363257,1.0,0.7334483792363924,0.01875721094415324,,0,3.860180603544063e-16
1,LH.DCE,None,ts_zscore,None,40,-0.29639414595628355,-0.4866140074099502,7.671807756599671,2.333909493176551,0.04634967941956726,-0.026404679715746567,12,1.1318668384774355e-06
0,LH.DCE,None,minmax,None,60,0.42944331500392846,0.386392811296534,1.0,0.7456198175068522,0.039082567029912606,,0,9.313947818228685e-17
1,LH.DCE,None,ts_zscore,None,60,-0.30795333771277955,-0.5816873922038978,6.8779343488212685,2.4028430157557503,0.04234172838005914,-0.11820069620354756,8,1.8614397276905947e-06
0,LH.DCE,None,minmax,None,90,0.44214227703856096,0.3453145057766367,1.0,0.7732218657207198,0.045009523973283665,,0,3.702856806736887e-17
1,LH.DCE,None,ts_zscore,None,90,-0.24127584648379455,-0.6639191694930714,6.662205558059785,2.440365252436661,0.03661608613140914,0.12525315907374107,6,1.7129679619198868e-10
0,LH.DCE,None,minmax,None,180,0.38482985429184563,0.16977696859353664,1.0,0.8023602210582187,0.04903534770106995,,0,4.54646717239148e-22
1,LH.DCE,None,ts_zscore,None,180,-0.19294307404639902,-0.8698943241906839,6.502685183985695,2.740547641086721,0.041837716946126376,-1.0,2,1.0599013927988196e-16
0,LH.DCE,None,minmax,None,256,0.3251190590103511,0.16977696859353664,1.0,0.5104061383404274,0.03648815281377583,,0,3.006098099992159e-20
1,LH.DCE,None,ts_zscore,None,256,-0.25482883271370715,-0.8765740240418828,6.4826525282672565,1.9315146028562906,0.04369497954560749,-0.10112066178666691,8,3.0244795806954857e-15
0,LH.DCE,None,minmax,None,512,0.2617019659015879,0.16977696859353664,1.0,0.39938542106533853,0.02049540799480286,0.2966990539015491,4,1.3492124442506713e-16
