,BTCUSDT,ETHUSDT,APTUSDT,SOLUSDT,DOGEUSDT,XRPUSDT,GALAUSDT,ETCUSDT,BNBUSDT,GMTUSDT,LTCUSDT,MATICUSDT
5225,0.016354928002250357,-0.5322173968256135,,-0.32802967190573384,0.011121575529781436,0.10962115565668462,-0.3287808629411595,-0.22613262663732214,-0.006947421991693181,-0.12947337486096044,-0.10116081379440878,-0.7234738453944053
5226,0.01863423132259423,-0.5322173968256135,,-0.33571244761824914,0.01227714392498569,0.1114938148327147,-0.3287808629411595,-0.22507921886317284,-0.006947421991693181,-0.1245308584754441,-0.10409910958285151,-0.7234738453944053
5227,0.0186903291572178,-0.5322173968256135,,-0.3389096930683231,0.012709981899304057,0.10988566688310342,-0.3287808629411595,-0.22363230736154172,-0.006947421991693181,-0.12346168280988223,-0.104912911666185,-0.7234738453944053
5228,0.018297666342386387,-0.5322173968256135,,-0.33621295367141213,0.011267812877094663,0.1101532612101036,-0.3287808629411595,-0.2170124003554733,-0.006947421991693181,-0.12442291318476206,-0.10507553973578976,-0.7234738453944053
5229,0.01853076657548658,-0.5322173968256135,,-0.3376878799250994,0.01141223806484759,0.10935026335143128,-0.3305993453349436,-0.2193350079391787,-0.006947421991693181,-0.12388838250270107,-0.10507553973578976,-0.7234738453944053
5230,0.01829340500044152,-0.5299636493152182,,-0.33106048669976795,0.00924617308289799,0.109885165731747,-0.3264739327936895,-0.21509749813012813,-0.006947421991693181,-0.12773494730663304,-0.10344952347562708,-0.7234738453944053
5231,0.008684453912851442,-0.5162938833121947,,-0.3204353322643837,0.0024444364692945975,0.11684261823375397,-0.3220000305567384,-0.2300224825018723,-0.006947421991693181,-0.13653039941432366,-0.09367753650494304,-0.7234738453944053
5232,0.0057162671219365135,-0.50522189467415,,-0.3037020655311169,-0.01212645089774611,0.12411828516988976,-0.3000293248310393,-0.2532647681255008,-0.006947421991693181,-0.14832565966754307,-0.08463148387336417,-0.7234738453944053
5233,0.006791667555593794,-0.5080642657501819,,-0.30878207569113725,-0.0054725990568469385,0.12086095617966175,-0.31262292592021557,-0.24690310055647002,-0.006947421991693181,-0.1391272365400793,-0.08429953366589527,-0.7234738453944053
5234,0.010507857216638938,-0.5135001833820074,,-0.31358369307804645,-0.0012129045797610871,0.11599082630953184,-0.32304309398744246,-0.23888696067751913,-0.006947421991693181,-0.13587202820674604,-0.07981671779340649,-0.7234738453944053
5235,0.010281621731603074,-0.5123369786342329,,-0.31333218402372054,-0.0022367454456379,0.11733708371394758,-0.3220450899954266,-0.23976759473403986,-0.006947421991693181,-0.13673726722902602,-0.07865969300001807,-0.7234738453944053
5236,0.008514844967763557,-0.5069598039978607,,-0.3125774670425885,-0.002529571214305637,0.11895477042195512,-0.3183820863324228,-0.24500263746908257,-0.006947421991693181,-0.13522178768799964,-0.07551555929159515,-0.7234738453944053
5237,0.009251578318243747,-0.5108487161180046,,-0.3163539020879056,0.00039954419284149445,0.11652430863421559,-0.32022032162654057,-0.2436064394237598,-0.006947421991693181,-0.13489753347269484,-0.07833760444431748,-0.7234738453944053
5238,0.010876425852657357,-0.5121459490843838,,-0.31785879298331565,0.0015677684919068735,0.11625491208249139,-0.32372324072578984,-0.24274843856575878,-0.006947421991693181,-0.13457338436410493,-0.07486135878962463,-0.7234738453944053
5239,0.01116781508343323,-0.5135841310322289,,-0.3188605460511844,0.0020053414207283904,0.1157162640889553,-0.3225596768960026,-0.2369083185486136,-0.009936622300255715,-0.13381728153411998,-0.07519128290707755,-0.7234738453944053
5240,0.007376510735607078,-0.5097327275546905,,-0.31360660559584286,-0.0023684740042605457,0.11706215910914375,-0.31457165892296224,-0.24348691546972367,-0.007148607559028353,-0.14050913258646747,-0.07832659643843076,-0.7234738453944053
